timestep,date,node,S,E,I,R
4,2019-01-05,11,483,0,0,7087
4,2019-01-05,12,583,0,0,6787
4,2019-01-05,13,838,0,0,10843
5,2019-01-06,0,152,0,2,2417
5,2019-01-06,1,102,0,0,1719
5,2019-01-06,2,199,0,0,2431
5,2019-01-06,3,380,0,0,3944
5,2019-01-06,4,600,0,0,6475
5,2019-01-06,5,352,0,0,3436
5,2019-01-06,6,735,0,0,9515
5,2019-01-06,7,748,0,0,10444
5,2019-01-06,8,662,0,0,8779
5,2019-01-06,9,456,0,0,9070
5,2019-01-06,10,190,0,0,3776
5,2019-01-06,11,483,0,0,7087
5,2019-01-06,12,583,0,0,6787
5,2019-01-06,13,838,0,0,10843
6,2019-01-07,0,152,0,2,2417
6,2019-01-07,1,102,0,0,1719
6,2019-01-07,2,199,0,0,2431
6,2019-01-07,3,380,0,0,3944
6,2019-01-07,4,600,0,0,6474
6,2019-01-07,5,352,0,0,3436
6,2019-01-07,6,735,0,0,9514
6,2019-01-07,7,748,0,0,10444
6,2019-01-07,8,662,0,0,8779
6,2019-01-07,9,456,0,0,9070
6,2019-01-07,10,190,0,0,3776
6,2019-01-07,11,483,0,0,7087
6,2019-01-07,12,583,0,0,6787
6,2019-01-07,13,838,0,0,10843
7,2019-01-08,0,152,0,2,2417
7,2019-01-08,1,102,0,0,1719
7,2019-01-08,2,195,0,0,2405
7,2019-01-08,3,380,0,0,3944
7,2019-01-08,4,602,0,0,6474
7,2019-01-08,5,353,0,0,3436
7,2019-01-08,6,739,0,0,9513
7,2019-01-08,7,752,0,0,10442
7,2019-01-08,8,666,0,0,8779
7,2019-01-08,9,460,0,0,9070
7,2019-01-08,10,191,0,0,3776
7,2019-01-08,11,486,0,0,7087
7,2019-01-08,12,586,0,0,6787
7,2019-01-08,13,842,0,0,10841
8,2019-01-09,0,152,0,2,2417
8,2019-01-09,1,102,0,0,1719
8,2019-01-09,2,195,0,0,2405
8,2019-01-09,3,380,0,0,3944
8,2019-01-09,4,602,0,0,6474
8,2019-01-09,5,353,0,0,3436
8,2019-01-09,6,739,0,0,9513
8,2019-01-09,7,752,0,0,10442
8,2019-01-09,8,666,0,0,8778
8,2019-01-09,9,460,0,0,9069
8,2019-01-09,10,191,0,0,3776
8,2019-01-09,11,486,0,0,7087
8,2019-01-09,12,586,0,0,6787
8,2019-01-09,13,842,0,0,10841
9,2019-01-10,0,152,0,2,2417
9,2019-01-10,1,102,0,0,1719
9,2019-01-10,2,195,0,0,2405
9,2019-01-10,3,380,0,0,3944
9,2019-01-10,4,602,0,0,6474
9,2019-01-10,5,353,0,0,3436
9,2019-01-10,6,739,0,0,9513
9,2019-01-10,7,752,0,0,10442
9,2019-01-10,8,666,0,0,8778
9,2019-01-10,9,460,0,0,9069
9,2019-01-10,10,191,0,0,3776
9,2019-01-10,11,486,0,0,7087
9,2019-01-10,12,586,0,0,6787
9,2019-01-10,13,842,0,0,10841
10,2019-01-11,0,152,0,2,2417
10,2019-01-11,1,102,0,0,1719
10,2019-01-11,2,195,0,0,2405
10,2019-01-11,3,380,0,0,3943
10,2019-01-11,4,602,0,0,6474
10,2019-01-11,5,353,0,0,3436
10,2019-01-11,6,739,0,0,9513
10,2019-01-11,7,752,0,0,10442
10,2019-01-11,8,666,0,0,8778
10,2019-01-11,9,460,0,0,9069
10,2019-01-11,10,191,0,0,3776
10,2019-01-11,11,486,0,0,7086
10,2019-01-11,12,586,0,0,6786
10,2019-01-11,13,842,0,0,10841
11,2019-01-12,0,152,0,2,2417
11,2019-01-12,1,102,0,0,1719
11,2019-01-12,2,195,0,0,2405
11,2019-01-12,3,380,0,0,3943
11,2019-01-12,4,602,0,0,6474
11,2019-01-12,5,353,0,0,3435
11,2019-01-12,6,739,0,0,9513
11,2019-01-12,7,752,0,0,10442
11,2019-01-12,8,666,0,0,8778
11,2019-01-12,9,460,0,0,9069
11,2019-01-12,10,191,0,0,3776
11,2019-01-12,11,486,0,0,7086
11,2019-01-12,12,586,0,0,6786
11,2019-01-12,13,842,0,0,10841
12,2019-01-13,0,152,0,2,2416
12,2019-01-13,1,102,0,0,1719
12,2019-01-13,2,195,0,0,2404
12,2019-01-13,3,380,0,0,3943
12,2019-01-13,4,602,0,0,6473
12,2019-01-13,5,353,0,0,3435
12,2019-01-13,6,739,0,0,9512
12,2019-01-13,7,752,0,0,10442
12,2019-01-13,8,666,0,0,8778
12,2019-01-13,9,460,0,0,9069
12,2019-01-13,10,191,0,0,3776
12,2019-01-13,11,486,0,0,7086
12,2019-01-13,12,586,0,0,6786
12,2019-01-13,13,842,0,0,10841
13,2019-01-14,0,152,0,2,2416
13,2019-01-14,1,102,0,0,1719
13,2019-01-14,2,195,0,0,2404
13,2019-01-14,3,380,0,0,3943
13,2019-01-14,4,602,0,0,6473
13,2019-01-14,5,353,0,0,3435
13,2019-01-14,6,739,0,0,9512
13,2019-01-14,7,752,0,0,10441
13,2019-01-14,8,666,0,0,8778
13,2019-01-14,9,460,0,0,9069
13,2019-01-14,10,191,0,0,3776
13,2019-01-14,11,486,0,0,7086
13,2019-01-14,12,586,0,0,6786
13,2019-01-14,13,842,0,0,10840
14,2019-01-15,0,152,0,2,2416
14,2019-01-15,1,102,0,0,1720
14,2019-01-15,2,188,0,0,2383
14,2019-01-15,3,381,0,0,3943
14,2019-01-15,4,600,0,0,6476
14,2019-01-15,5,354,0,0,3435
14,2019-01-15,6,742,0,0,9512
14,2019-01-15,7,753,0,0,10443
14,2019-01-15,8,669,0,0,8778
14,2019-01-15,9,463,0,0,9070
14,2019-01-15,10,192,0,0,3776
14,2019-01-15,11,489,0,0,7086
14,2019-01-15,12,588,0,0,6786
14,2019-01-15,13,845,0,0,10840
15,2019-01-16,0,152,0,2,2416
15,2019-01-16,1,102,0,0,1720
15,2019-01-16,2,188,0,0,2383
15,2019-01-16,3,381,0,0,3943
15,2019-01-16,4,600,0,0,6476
15,2019-01-16,5,354,0,0,3435
15,2019-01-16,6,742,0,0,9512
15,2019-01-16,7,753,0,0,10443
15,2019-01-16,8,669,0,0,8777
15,2019-01-16,9,463,0,0,9069
15,2019-01-16,10,192,0,0,3776
15,2019-01-16,11,489,0,0,7086
15,2019-01-16,12,588,0,0,6786
15,2019-01-16,13,845,0,0,10840
16,2019-01-17,0,152,0,2,2416
16,2019-01-17,1,102,0,0,1720
16,2019-01-17,2,188,0,0,2383
16,2019-01-17,3,381,0,0,3943
16,2019-01-17,4,600,0,0,6476
16,2019-01-17,5,354,0,0,3435
16,2019-01-17,6,742,0,0,9512
16,2019-01-17,7,753,0,0,10443
16,2019-01-17,8,669,0,0,8777
16,2019-01-17,9,463,0,0,9069
16,2019-01-17,10,192,0,0,3776
16,2019-01-17,11,489,0,0,7086
16,2019-01-17,12,588,0,0,6786
16,2019-01-17,13,845,0,0,10840
17,2019-01-18,0,152,0,2,2416
17,2019-01-18,1,102,0,0,1719
17,2019-01-18,2,188,0,0,2383
17,2019-01-18,3,381,0,0,3943
17,2019-01-18,4,600,0,0,6475
17,2019-01-18,5,354,0,0,3435
17,2019-01-18,6,742,0,0,9511
17,2019-01-18,7,753,0,0,10443
17,2019-01-18,8,669,0,0,8777
17,2019-01-18,9,463,0,0,9069
17,2019-01-18,10,192,0,0,3776
17,2019-01-18,11,489,0,0,7086
17,2019-01-18,12,588,0,0,6786
17,2019-01-18,13,845,0,0,10839
18,2019-01-19,0,152,0,2,2416
18,2019-01-19,1,102,0,0,1719
18,2019-01-19,2,188,0,0,2383
18,2019-01-19,3,381,0,0,3943
18,2019-01-19,4,600,0,0,6474
18,2019-01-19,5,354,0,0,3435
18,2019-01-19,6,742,0,0,9510
18,2019-01-19,7,753,0,0,10442
18,2019-01-19,8,669,0,0,8777
18,2019-01-19,9,463,0,0,9069
18,2019-01-19,10,192,0,0,3775
18,2019-01-19,11,489,0,0,7086
18,2019-01-19,12,588,0,0,6786
18,2019-01-19,13,845,0,0,10839
19,2019-01-20,0,152,0,2,2416
19,2019-01-20,1,102,0,0,1719
19,2019-01-20,2,188,0,0,2383
19,2019-01-20,3,381,0,0,3942
19,2019-01-20,4,600,0,0,6474
19,2019-01-20,5,354,0,0,3435
19,2019-01-20,6,742,0,0,9510
19,2019-01-20,7,753,0,0,10442
19,2019-01-20,8,669,0,0,8777
19,2019-01-20,9,463,0,0,9069
19,2019-01-20,10,192,0,0,3775
19,2019-01-20,11,489,0,0,7085
19,2019-01-20,12,588,0,0,6786
19,2019-01-20,13,845,0,0,10838
20,2019-01-21,0,152,0,1,2417
20,2019-01-21,1,102,0,0,1719
20,2019-01-21,2,188,0,0,2383
20,2019-01-21,3,381,0,0,3942
20,2019-01-21,4,600,0,0,6474
20,2019-01-21,5,354,0,0,3435
20,2019-01-21,6,742,0,0,9510
20,2019-01-21,7,753,0,0,10441
20,2019-01-21,8,669,0,0,8777
20,2019-01-21,9,463,0,0,9068
20,2019-01-21,10,192,0,0,3775
20,2019-01-21,11,489,0,0,7085
20,2019-01-21,12,588,0,0,6785
20,2019-01-21,13,845,0,0,10838
21,2019-01-22,0,152,0,1,2417
21,2019-01-22,1,102,0,0,1719
21,2019-01-22,2,183,0,0,2361
21,2019-01-22,3,382,0,0,3942
21,2019-01-22,4,601,0,0,6474
21,2019-01-22,5,355,0,0,3435
21,2019-01-22,6,745,0,0,9510
21,2019-01-22,7,757,0,0,10441
21,2019-01-22,8,672,0,0,8777
21,2019-01-22,9,467,0,0,9066
21,2019-01-22,10,193,0,0,3775
21,2019-01-22,11,491,0,0,7085
21,2019-01-22,12,590,0,0,6785
21,2019-01-22,13,850,0,0,10837
22,2019-01-23,0,152,0,1,2417
22,2019-01-23,1,102,0,0,1719
22,2019-01-23,2,183,0,0,2361
22,2019-01-23,3,382,0,0,3942
22,2019-01-23,4,601,0,0,6474
22,2019-01-23,5,355,0,0,3434
22,2019-01-23,6,745,0,0,9510
22,2019-01-23,7,757,0,0,10441
22,2019-01-23,8,672,0,0,8776
22,2019-01-23,9,467,0,0,9065
22,2019-01-23,10,193,0,0,3775
22,2019-01-23,11,491,0,0,7085
22,2019-01-23,12,590,0,0,6785
22,2019-01-23,13,850,0,0,10837
23,2019-01-24,0,152,0,1,2416
23,2019-01-24,1,102,0,0,1719
23,2019-01-24,2,183,0,0,2361
23,2019-01-24,3,382,0,0,3942
23,2019-01-24,4,601,0,0,6474
23,2019-01-24,5,355,0,0,3434
23,2019-01-24,6,745,0,0,9510
23,2019-01-24,7,757,0,0,10441
23,2019-01-24,8,672,0,0,8775
23,2019-01-24,9,467,0,0,9065
23,2019-01-24,10,193,0,0,3775
23,2019-01-24,11,491,0,0,7085
23,2019-01-24,12,590,0,0,6785
23,2019-01-24,13,850,0,0,10837
24,2019-01-25,0,152,0,1,2416
24,2019-01-25,1,102,0,0,1719
24,2019-01-25,2,183,0,0,2360
24,2019-01-25,3,382,0,0,3942
24,2019-01-25,4,601,0,0,6473
24,2019-01-25,5,355,0,0,3434
24,2019-01-25,6,745,0,0,9509
24,2019-01-25,7,757,0,0,10441
24,2019-01-25,8,672,0,0,8775
24,2019-01-25,9,467,0,0,9065
24,2019-01-25,10,193,0,0,3775
24,2019-01-25,11,491,0,0,7085
24,2019-01-25,12,590,0,0,6785
24,2019-01-25,13,850,0,0,10837
25,2019-01-26,0,85,0,1,2483
25,2019-01-26,1,71,0,0,1750
25,2019-01-26,2,133,0,0,2410
25,2019-01-26,3,299,0,0,4025
25,2019-01-26,4,476,0,0,6598
25,2019-01-26,5,268,0,0,3521
25,2019-01-26,6,617,0,0,9637
25,2019-01-26,7,615,0,0,10583
25,2019-01-26,8,559,0,0,8888
25,2019-01-26,9,386,0,0,9146
25,2019-01-26,10,161,0,0,3807
25,2019-01-26,11,417,0,0,7159
25,2019-01-26,12,488,0,0,6887
25,2019-01-26,13,718,0,0,10968
26,2019-01-27,0,85,0,1,2483
26,2019-01-27,1,71,0,0,1750
26,2019-01-27,2,133,0,0,2410
26,2019-01-27,3,299,0,0,4025
26,2019-01-27,4,476,0,0,6598
26,2019-01-27,5,268,0,0,3521
26,2019-01-27,6,617,0,0,9637
26,2019-01-27,7,615,0,0,10582
26,2019-01-27,8,559,0,0,8888
26,2019-01-27,9,386,0,0,9146
26,2019-01-27,10,161,0,0,3807
26,2019-01-27,11,417,0,0,7158
26,2019-01-27,12,488,0,0,6887
26,2019-01-27,13,718,0,0,10968
27,2019-01-28,0,85,0,1,2483
27,2019-01-28,1,71,0,0,1750
27,2019-01-28,2,133,0,0,2410
27,2019-01-28,3,299,0,0,4025
27,2019-01-28,4,476,0,0,6598
27,2019-01-28,5,268,0,0,3521
27,2019-01-28,6,617,0,0,9637
27,2019-01-28,7,615,0,0,10582
27,2019-01-28,8,559,0,0,8888
27,2019-01-28,9,386,0,0,9146
27,2019-01-28,10,161,0,0,3807
27,2019-01-28,11,417,0,0,7158
27,2019-01-28,12,488,0,0,6887
27,2019-01-28,13,718,0,0,10968
28,2019-01-29,0,86,0,1,2483
28,2019-01-29,1,71,0,0,1750
28,2019-01-29,2,129,0,0,2387
28,2019-01-29,3,300,0,0,4024
28,2019-01-29,4,478,0,0,6598
28,2019-01-29,5,268,0,0,3521
28,2019-01-29,6,620,0,0,9636
28,2019-01-29,7,618,0,0,10583
28,2019-01-29,8,562,0,0,8887
28,2019-01-29,9,389,0,0,9146
28,2019-01-29,10,162,0,0,3807
28,2019-01-29,11,419,0,0,7157
28,2019-01-29,12,491,0,0,6886
28,2019-01-29,13,722,0,0,10968
29,2019-01-30,0,86,0,0,2484
29,2019-01-30,1,71,0,0,1750
29,2019-01-30,2,129,0,0,2387
29,2019-01-30,3,300,0,0,4023
29,2019-01-30,4,478,0,0,6597
29,2019-01-30,5,268,0,0,3521
29,2019-01-30,6,620,0,0,9635
29,2019-01-30,7,618,0,0,10583
29,2019-01-30,8,562,0,0,8887
29,2019-01-30,9,389,0,0,9146
29,2019-01-30,10,162,0,0,3807
29,2019-01-30,11,419,0,0,7157
29,2019-01-30,12,491,0,0,6885
29,2019-01-30,13,722,0,0,10968
30,2019-01-31,0,86,0,0,2484
30,2019-01-31,1,71,0,0,1750
30,2019-01-31,2,129,0,0,2387
30,2019-01-31,3,300,0,0,4023
30,2019-01-31,4,478,0,0,6597
30,2019-01-31,5,268,0,0,3521
30,2019-01-31,6,620,0,0,9635
30,2019-01-31,7,618,0,0,10583
30,2019-01-31,8,562,0,0,8886
30,2019-01-31,9,389,0,0,9145
30,2019-01-31,10,162,0,0,3807
30,2019-01-31,11,419,0,0,7157
30,2019-01-31,12,491,0,0,6885
30,2019-01-31,13,722,0,0,10968
31,2019-02-01,0,86,0,0,2484
31,2019-02-01,1,71,0,0,1750
31,2019-02-01,2,129,0,0,2387
31,2019-02-01,3,300,0,0,4023
31,2019-02-01,4,478,0,0,6597
31,2019-02-01,5,268,0,0,3520
31,2019-02-01,6,620,0,0,9635
31,2019-02-01,7,618,0,0,10583
31,2019-02-01,8,562,0,0,8886
31,2019-02-01,9,389,0,0,9145
31,2019-02-01,10,162,0,0,3807
31,2019-02-01,11,419,0,0,7157
31,2019-02-01,12,491,0,0,6885
31,2019-02-01,13,722,0,0,10968
32,2019-02-02,0,86,0,0,2483
32,2019-02-02,1,71,0,0,1750
32,2019-02-02,2,129,0,0,2387
32,2019-02-02,3,300,0,0,4023
32,2019-02-02,4,478,0,0,6597
32,2019-02-02,5,268,0,0,3520
32,2019-02-02,6,620,0,0,9635
32,2019-02-02,7,618,0,0,10582
32,2019-02-02,8,562,0,0,8886
32,2019-02-02,9,389,0,0,9145
32,2019-02-02,10,162,0,0,3807
32,2019-02-02,11,419,0,0,7157
32,2019-02-02,12,491,0,0,6885
32,2019-02-02,13,722,0,0,10967
33,2019-02-03,0,86,0,0,2483
33,2019-02-03,1,71,0,0,1749
33,2019-02-03,2,129,0,0,2387
33,2019-02-03,3,300,0,0,4023
33,2019-02-03,4,478,0,0,6596
33,2019-02-03,5,268,0,0,3519
33,2019-02-03,6,620,0,0,9634
33,2019-02-03,7,618,0,0,10582
33,2019-02-03,8,562,0,0,8886
33,2019-02-03,9,389,0,0,9145
33,2019-02-03,10,162,0,0,3807
33,2019-02-03,11,419,0,0,7157
33,2019-02-03,12,491,0,0,6885
33,2019-02-03,13,722,0,0,10966
34,2019-02-04,0,86,0,0,2483
34,2019-02-04,1,71,0,0,1749
34,2019-02-04,2,129,0,0,2387
34,2019-02-04,3,300,0,0,4023
34,2019-02-04,4,478,0,0,6596
34,2019-02-04,5,268,0,0,3519
34,2019-02-04,6,620,0,0,9634
34,2019-02-04,7,618,0,0,10582
34,2019-02-04,8,562,0,0,8886
34,2019-02-04,9,389,0,0,9145
34,2019-02-04,10,162,0,0,3807
34,2019-02-04,11,419,0,0,7157
34,2019-02-04,12,491,0,0,6885
34,2019-02-04,13,722,0,0,10966
35,2019-02-05,0,86,0,0,2482
35,2019-02-05,1,71,0,0,1749
35,2019-02-05,2,125,0,0,2359
35,2019-02-05,3,301,0,0,4023
35,2019-02-05,4,479,0,0,6595
35,2019-02-05,5,269,0,0,3519
35,2019-02-05,6,624,0,0,9633
35,2019-02-05,7,622,0,0,10582
35,2019-02-05,8,565,0,0,8885
35,2019-02-05,9,393,0,0,9144
35,2019-02-05,10,164,0,0,3807
35,2019-02-05,11,422,0,0,7157
35,2019-02-05,12,494,0,0,6885
35,2019-02-05,13,727,0,0,10966
36,2019-02-06,0,86,0,0,2482
36,2019-02-06,1,71,0,0,1749
36,2019-02-06,2,125,0,0,2358
36,2019-02-06,3,301,0,0,4023
36,2019-02-06,4,479,0,0,6595
36,2019-02-06,5,269,0,0,3519
36,2019-02-06,6,624,0,0,9633
36,2019-02-06,7,622,0,0,10581
36,2019-02-06,8,565,0,0,8885
36,2019-02-06,9,393,0,0,9144
36,2019-02-06,10,164,0,0,3806
36,2019-02-06,11,422,0,0,7157
36,2019-02-06,12,494,0,0,6885
36,2019-02-06,13,727,0,0,10966
37,2019-02-07,0,86,0,0,2482
37,2019-02-07,1,71,0,0,1749
37,2019-02-07,2,125,0,0,2358
37,2019-02-07,3,301,0,0,4023
37,2019-02-07,4,479,0,0,6595
37,2019-02-07,5,269,0,0,3519
37,2019-02-07,6,624,0,0,9633
37,2019-02-07,7,622,0,0,10581
37,2019-02-07,8,565,0,0,8884
37,2019-02-07,9,393,0,0,9143
37,2019-02-07,10,164,0,0,3806
37,2019-02-07,11,422,0,0,7156
37,2019-02-07,12,494,0,0,6885
37,2019-02-07,13,727,0,0,10966
38,2019-02-08,0,86,0,0,2482
38,2019-02-08,1,71,0,0,1749
38,2019-02-08,2,125,0,0,2358
38,2019-02-08,3,301,0,0,4022
38,2019-02-08,4,479,0,0,6595
38,2019-02-08,5,269,0,0,3519
38,2019-02-08,6,624,0,0,9633
38,2019-02-08,7,622,0,0,10581
38,2019-02-08,8,565,0,0,8884
38,2019-02-08,9,393,0,0,9143
38,2019-02-08,10,164,0,0,3806
38,2019-02-08,11,422,0,0,7156
38,2019-02-08,12,494,0,0,6885
38,2019-02-08,13,727,0,0,10965
39,2019-02-09,0,86,0,0,2482
39,2019-02-09,1,71,0,0,1749
39,2019-02-09,2,125,0,0,2358
39,2019-02-09,3,301,0,0,4022
39,2019-02-09,4,479,0,0,6595
39,2019-02-09,5,269,0,0,3519
39,2019-02-09,6,624,0,0,9633
39,2019-02-09,7,622,0,0,10580
39,2019-02-09,8,565,0,0,8884
39,2019-02-09,9,393,0,0,9143
39,2019-02-09,10,164,0,0,3806
39,2019-02-09,11,422,0,0,7156
39,2019-02-09,12,494,0,0,6884
39,2019-02-09,13,727,0,0,10965
40,2019-02-10,0,86,0,0,2482
40,2019-02-10,1,71,0,0,1749
40,2019-02-10,2,125,0,0,2358
40,2019-02-10,3,301,0,0,4022
40,2019-02-10,4,479,0,0,6595
40,2019-02-10,5,269,0,0,3519
40,2019-02-10,6,624,0,0,9633
40,2019-02-10,7,622,0,0,10580
40,2019-02-10,8,565,0,0,8884
40,2019-02-10,9,393,0,0,9142
40,2019-02-10,10,164,0,0,3806
40,2019-02-10,11,422,0,0,7156
40,2019-02-10,12,494,0,0,6884
40,2019-02-10,13,727,0,0,10965
41,2019-02-11,0,86,0,0,2482
41,2019-02-11,1,71,0,0,1749
41,2019-02-11,2,125,0,0,2358
41,2019-02-11,3,301,0,0,4022
41,2019-02-11,4,479,0,0,6594
41,2019-02-11,5,269,0,0,3519
41,2019-02-11,6,624,0,0,9632
41,2019-02-11,7,622,0,0,10580
41,2019-02-11,8,565,0,0,8884
41,2019-02-11,9,393,0,0,9142
41,2019-02-11,10,164,0,0,3806
41,2019-02-11,11,422,0,0,7156
41,2019-02-11,12,494,0,0,6884
41,2019-02-11,13,727,0,0,10965
42,2019-02-12,0,86,0,0,2482
42,2019-02-12,1,71,0,0,1749
42,2019-02-12,2,123,0,0,2342
42,2019-02-12,3,301,0,0,4010
42,2019-02-12,4,481,0,0,6594
42,2019-02-12,5,270,0,0,3519
42,2019-02-12,6,627,0,0,9632
42,2019-02-12,7,626,0,0,10580
42,2019-02-12,8,568,0,0,8884
42,2019-02-12,9,397,0,0,9142
42,2019-02-12,10,166,0,0,3806
42,2019-02-12,11,425,0,0,7156
42,2019-02-12,12,497,0,0,6883
42,2019-02-12,13,732,0,0,10964
43,2019-02-13,0,86,0,0,2482
43,2019-02-13,1,71,0,0,1749
43,2019-02-13,2,123,0,0,2342
43,2019-02-13,3,301,0,0,4010
43,2019-02-13,4,481,0,0,6594
43,2019-02-13,5,270,0,0,3519
43,2019-02-13,6,627,0,0,9632
43,2019-02-13,7,626,0,0,10580
43,2019-02-13,8,568,0,0,8883
43,2019-02-13,9,397,0,0,9142
43,2019-02-13,10,166,0,0,3806
43,2019-02-13,11,425,0,0,7156
43,2019-02-13,12,497,0,0,6883
43,2019-02-13,13,732,0,0,10964
44,2019-02-14,0,86,0,0,2482
44,2019-02-14,1,71,0,0,1748
44,2019-02-14,2,123,0,0,2342
44,2019-02-14,3,301,0,0,4010
44,2019-02-14,4,481,0,0,6594
44,2019-02-14,5,270,0,0,3518
44,2019-02-14,6,627,0,0,9632
44,2019-02-14,7,626,0,0,10580
44,2019-02-14,8,568,0,0,8883
44,2019-02-14,9,397,0,0,9141
44,2019-02-14,10,166,0,0,3806
44,2019-02-14,11,425,0,0,7156
44,2019-02-14,12,497,0,0,6883
44,2019-02-14,13,732,0,0,10963
45,2019-02-15,0,86,0,0,2482
45,2019-02-15,1,71,0,0,1748
45,2019-02-15,2,123,0,0,2342
45,2019-02-15,3,301,0,0,4010
45,2019-02-15,4,481,0,0,6594
45,2019-02-15,5,270,0,0,3518
45,2019-02-15,6,627,0,0,9632
45,2019-02-15,7,626,0,0,10579
45,2019-02-15,8,568,0,0,8882
45,2019-02-15,9,397,0,0,9141
45,2019-02-15,10,166,0,0,3806
45,2019-02-15,11,425,0,0,7156
45,2019-02-15,12,497,0,0,6883
45,2019-02-15,13,732,0,0,10963
46,2019-02-16,0,86,0,0,2481
46,2019-02-16,1,71,0,0,1748
46,2019-02-16,2,123,0,0,2342
46,2019-02-16,3,301,0,0,4010
46,2019-02-16,4,481,0,0,6594
46,2019-02-16,5,270,0,0,3518
46,2019-02-16,6,627,0,0,9632
46,2019-02-16,7,626,0,0,10579
46,2019-02-16,8,568,0,0,8882
46,2019-02-16,9,397,0,0,9141
46,2019-02-16,10,166,0,0,3806
46,2019-02-16,11,425,0,0,7156
46,2019-02-16,12,497,0,0,6883
46,2019-02-16,13,732,0,0,10963
47,2019-02-17,0,86,0,0,2481
47,2019-02-17,1,71,0,0,1748
47,2019-02-17,2,123,0,0,2341
47,2019-02-17,3,301,0,0,4010
47,2019-02-17,4,481,0,0,6593
47,2019-02-17,5,270,0,0,3518
47,2019-02-17,6,627,0,0,9631
47,2019-02-17,7,626,0,0,10579
47,2019-02-17,8,568,0,0,8882
47,2019-02-17,9,397,0,0,9141
47,2019-02-17,10,166,0,0,3806
47,2019-02-17,11,425,0,0,7155
47,2019-02-17,12,497,0,0,6883
47,2019-02-17,13,732,0,0,10963
48,2019-02-18,0,86,0,0,2481
48,2019-02-18,1,71,0,0,1748
48,2019-02-18,2,123,0,0,2341
48,2019-02-18,3,301,0,0,4009
48,2019-02-18,4,481,0,0,6593
48,2019-02-18,5,270,0,0,3518
48,2019-02-18,6,627,0,0,9631
48,2019-02-18,7,626,0,0,10579
48,2019-02-18,8,568,0,0,8882
48,2019-02-18,9,397,0,0,9141
48,2019-02-18,10,166,0,0,3806
48,2019-02-18,11,425,0,0,7155
48,2019-02-18,12,497,0,0,6882
48,2019-02-18,13,732,0,0,10963
49,2019-02-19,0,86,0,0,2481
49,2019-02-19,1,71,0,0,1748
49,2019-02-19,2,123,0,0,2341
49,2019-02-19,3,298,0,0,3985
49,2019-02-19,4,482,0,0,6593
49,2019-02-19,5,271,0,0,3518
49,2019-02-19,6,630,0,0,9630
49,2019-02-19,7,630,0,0,10579
49,2019-02-19,8,571,0,0,8882
49,2019-02-19,9,400,0,0,9141
49,2019-02-19,10,168,0,0,3805
49,2019-02-19,11,428,0,0,7155
